time_id,drive_torque,steer_angle
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0.248,0
123,0.488,0
124,0.7,0
125,0.75,0
126,0.75,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,0.048,0.095
153,0.008,0.099
154,0,0.1
155,0,0.28
156,0.24,0.396
157,0.45,0.48
158,0.5,0.5
159,0.95,0.524
160,0.2,0.524
161,0,0.524
162,0,0.524
163,0.16,0.524
164,0.2,0.524
165,0.25,0.524
166,0.7,0.524
167,0.75,0.524
168,0.2,0.524
169,0,0.524
170,0,0.524
171,0.2,0.524
172,0.25,0.524
173,0.5,0.524
174,0.15,0
175,0,0
176,0,0
177,0,0
178,0.25,0
179,0.5,0.1
180,0,0.2
181,0,0.3
182,0.25,0.4
183,0,0.5
184,0,0.524
185,0.25,0.524
186,0.5,0.524
187,0.75,0.524
188,0.15,0.524
189,0,0.524
190,0,0.524
191,0.25,0.524
192,0.5,0.524
193,0.75,0.524
194,0,0.524
195,0,0.524
196,0,0.524
197,0.2,0.524
198,0.498,0.524
199,0.1,0.524
200,0,0.524
201,0,0.524
202,0,0.524
203,0.496,0.524
204,0.5,0.524
205,0.001,0.524
206,0,0.524
207,0,0.524
208,0,0.524
209,0.499,0.524
210,0.5,0.524
211,0.02,0.524
212,0,0.524
213,0,0.524
214,0,0
215,0.25,0
216,0,0
217,0,0.1
218,0,0.2
219,0,0.2
220,0,0.3
221,0.25,0.4
222,0.02,0.523
223,0,0.524
224,0,0.524
225,0,0.524
226,0,0.524
227,0.25,0.524
228,0,0.524
229,0,0.524
230,0,0.524
231,0,0.524
232,0,0.524
233,0.25,0.524
234,0.5,0.524
235,0.75,0.524
236,0.75,0.524
237,0,0.524
238,0,0.524
239,0,0.524
240,0.25,0.524
241,0.5,0.524
242,0.75,0.524
243,0,0.524
244,0,0.524
245,0,0.524
246,0,0
247,0,0
248,0,0
249,0.25,0
250,0.25,0
251,0.7,0
252,0.75,0
253,0,0.08
254,0,0.1
255,0,0.2
256,0,0.3
257,0.25,0.3
258,0.5,0.3
259,0.75,0.3
260,0.75,0.3
261,0,0.3
262,0,0.3
263,0,0.3
264,0,0.3
265,0.25,0.3
266,0.5,0.3
267,0.5,0.3
268,0,0.3
269,0,0.3
270,0,0.3
271,0,0.3
272,0.248,0.3
273,0.45,0.3
274,0.5,0.3
275,0.5,0.3
276,0,0.3
277,0,0.3
278,0,0.3
279,0,0.012
280,0,0
281,0,0
282,0.25,0
283,0.5,0
284,0.75,0
285,0.75,0
286,1,0
287,1,0
288,1,0
289,1,0
290,1,0
291,1,0
292,1,0
293,1,0
294,1,0
295,1,0
296,1,0
297,1,0
298,1,0
299,1,0
300,1,0
301,1,0
302,1,0
303,1,0
304,1,0
305,1,0
306,1,0
307,1,0
308,1,0
309,1,0
310,1,0
311,1,0
312,1,0
313,1,0
314,1,0
315,1,0
316,1,0
317,1,0
318,1,0
319,1,0
320,1,0
321,1,0
322,1,0
323,1,0
324,1,0
325,1,0
326,1,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,1,0
334,1,0
335,0,0
336,0,0.1
337,0,0.2
338,0,0.3
339,0,0.4
340,0,0.5
341,0,0.5
342,0,0.523
343,0.24,0.524
344,0.25,0.524
345,0.5,0.524
346,0.004,0.524
347,0,0.524
348,0,0.524
349,0.24,0.524
350,0.498,0.524
351,0.75,0.524
352,0.75,0.524
353,1,0.524
354,0,0.524
355,0,0.524
356,0.25,0.524
357,0.5,0.524
358,0.5,0.524
359,0.75,0.524
360,1,0.524
361,0,0.524
362,0,0.524
363,0.25,0.524
364,0.5,0.524
365,0,0.524
366,0,0.524
367,0.2,0.524
368,0.25,0.524
369,0.7,0.524
370,0.75,0.524
371,0,0.524
372,0,0.524
373,0,0.524
374,0.248,0.524
375,0.49,0.524
376,0.5,0.524
377,0,0.524
378,0,0.524
379,0.25,0.524
380,0.5,0.524
381,0,0.524
382,0,0.524
383,0.25,0.524
384,0.25,0.524
385,0.5,0.524
386,0.748,0.524
387,0.99,0.524
388,1,0.524
389,0,0.524
390,0,0.524
391,0,0.524
392,0,0.524
393,0.25,0.524
394,0.5,0.524
395,0.75,0.524
396,1,0.524
397,0,0.524
398,0,0.524
399,0,0.524
400,0,0.524
401,0.25,0.524
402,0.498,0.524
403,0.74,0.524
404,0.15,0.524
405,0,0.524
406,0,0.524
407,0,0.524
408,0,0.524
409,0,0.524
410,0.25,0.524
411,0.5,0.524
412,0.75,0.524
413,0,0.524
414,0,0.524
415,0,0.524
416,0,0.524
417,0,0.524
418,0,0
419,0,0
420,0,0
421,0.25,0
422,0.5,0
423,0.75,0
424,1,0
425,1,0
426,1,0
427,1,0
428,1,0
429,1,0
430,1,0
431,1,0
432,1,0
433,1,0
434,1,0
435,1,0
436,1,0
437,1,0
438,1,0
439,1,0
440,1,0
441,1,0
442,1,0
443,1,0
444,1,0
445,1,0
446,1,0
447,1,0
448,1,0
449,1,0
450,1,0
451,1,0
452,1,0
453,1,0
454,1,0
455,1,0
456,1,0
457,1,0
458,1,0
459,1,0
460,1,0
461,1,0
462,1,0
463,1,0
464,1,0
465,1,0
466,1,0
467,1,0
