time_id,drive_torque,steer_angle
425,0.75,0.524
426,0,0.524
427,0,0.524
428,0.45,0.524
429,0.5,0.524
430,0.75,0.524
431,1,0.524
432,0,0.524
433,0,0.524
434,0,0.524
435,0,0.524
436,0,0.524
437,0,0.524
438,0.25,0.524
439,0.5,0.524
440,0.5,0.524
441,0.75,0.524
442,0,0.524
443,0,0.524
444,0,0
445,0,0
446,0,0
447,0.24,0
448,0.45,0
449,0.74,0
450,0.75,0
451,1,0
452,1,0
453,1,0.192
454,1,0.2
455,1,0.392
456,1,0.003
457,1,0
458,1,0
459,1,0
460,1,0
461,1,0
462,1,0
463,1,0
464,1,0
465,1,0
466,1,0
467,1,0
468,1,0
469,1,0
470,1,0
471,1,0
472,1,0
473,1,0
474,1,0
475,1,0
476,1,0
477,1,0
478,1,0
479,1,0
480,1,0
481,1,0
482,1,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,1,0
489,1,0
490,1,0
491,1,0
492,1,0
493,1,0
494,1,0
495,1,0
496,1,0
497,1,0
498,0.008,0.198
499,0,0.398
500,0,0.4
501,0,0.4
502,0,0.524
503,0.25,0.524
504,0.25,0.524
505,0.5,0.524
506,0.99,0.524
507,1,0.524
508,0.04,0.524
509,0,0.524
510,0,0.524
511,0,0.524
512,0,0.524
513,0.25,0.524
514,0.5,0.524
515,0.75,0.524
516,1,0.524
517,0,0.524
518,0,0.524
519,0,0.524
520,0,0.524
521,0,0.524
522,0.25,0.524
523,0.5,0.524
524,0.75,0.524
525,1,0.524
526,1,0.524
527,0.2,0.524
528,0,0.524
529,0,0.524
530,0,0.524
531,0,0.524
532,0.25,0.524
533,0.5,0.524
534,0.5,0.524
535,0.75,0.524
536,1,0.524
537,0,0.524
538,0,0.524
539,0,0.524
540,0,0.524
541,0,0.524
542,0.24,0.524
543,0.45,0.524
544,0.74,0.524
545,0.75,0.524
546,0,0.524
547,0,0.524
548,0,0.524
549,0,0.524
550,0,0.524
551,0.25,0.524
552,0.5,0.524
553,0.75,0.524
554,1,0.524
